n,k,y,x,l2_request.all,l2_request.miss,miss_to_all_ratio
1000,48,2,4,156998888,106280174,67
1000,96,2,4,180303522,113612648,63
1000,192,2,4,225983430,121267420,53
1000,384,2,4,317035848,136800125,43
1000,768,2,4,498964420,167519781,33
2000,24,2,4,199537961,117530707,58
2000,48,2,4,245429259,128786920,52
2000,96,2,4,335870451,144410754,42
2000,192,2,4,517156879,175337331,33
2000,384,2,4,877630336,235859490,26
2000,768,2,4,1610709824,368781156,22
3000,24,2,4,308810273,153229252,49
3000,48,2,4,414980367,172077661,41
3000,96,2,4,620007343,205787264,33
3000,192,2,4,1034028620,275267522,26
3000,384,2,4,1863737719,416528872,22
3000,768,2,4,3588959301,761257920,21
4000,24,2,4,474260733,226465521,47
4000,48,2,4,663155769,260376643,39
4000,96,2,4,1033049751,323636296,31
4000,192,2,4,1781611618,456898667,25
4000,384,2,4,3273986178,720903921,22
4000,768,2,4,6364414932,1335198756,20
5000,24,2,4,698888473,310438374,44
5000,48,2,4,1002084968,359423613,35
5000,96,2,4,1588758937,462462332,29
5000,192,2,4,2783782778,675298132,24
5000,384,2,4,5343456588,1210844975,22
5000,768,2,4,10829808892,2443409953,22
6000,24,2,4,991019899,454279152,45
6000,48,2,4,1478230294,557269752,37
6000,96,2,4,2457870451,793188313,32
6000,192,2,4,4403079225,1202689814,27
6000,384,2,4,8120862548,1966906431,24
6000,768,2,4,16280685423,3752266765,23
